,kbps,kbps(avg)
   868.868,951.96,2251.03
   872.872,1901.12,2249.43
   876.876,589.32,2241.89
   880.880,1547.21,2238.74
   884.884,664.97,2231.65
   888.888,638.36,2224.51
   892.892,1175.22,2219.82
   896.896,1043.23,2214.59
   900.900,1086.67,2209.60
   904.904,1246.25,2205.36
   908.908,1074.42,2200.40
   912.912,1058.61,2195.41
   916.916,5301.00,2208.92
   920.920,1344.14,2205.17
   924.924,947.23,2199.75
   928.928,275.97,2191.49
   932.932,133.12,2182.70
   936.936,1746.97,2180.84
   940.940,1204.34,2176.71
   944.944,562.06,2169.89
   948.948,1175.42,2165.71
   952.952,326.65,2158.02
   956.956,532.35,2151.25
   960.960,458.84,2144.22
   964.964,371.73,2136.90
   968.968,375.08,2129.65
   972.972,728.00,2123.90
   976.976,662.29,2117.94
   980.980,344.27,2110.73
   984.984,276.92,2103.30
   988.988,151.07,2095.43
   992.992,3210.67,2099.91
   996.996,5621.04,2114.00
  1001.000,2720.97,2116.41
  1005.004,1442.50,2113.74
  1009.008,4632.92,2123.70
  1013.012,5897.77,2138.55
  1017.016,3701.49,2144.68
  1021.020,2703.67,2146.87
  1025.024,3506.56,2152.16
  1029.028,4703.30,2162.05
  1033.032,3575.54,2167.50
  1037.036,2998.89,2170.70
  1041.040,7871.42,2192.54
  1045.044,5366.28,2204.66
  1049.048,5127.74,2215.77
  1053.052,5225.92,2227.17
  1057.056,6564.57,2243.54
  1061.060,1162.10,2239.48
  1065.064,501.20,2232.96
  1069.068,595.33,2226.85
  1073.072,1231.26,2223.15
  1077.076,852.09,2218.08
  1081.080,1829.45,2216.64
  1085.084,709.27,2211.10
  1089.088,428.47,2204.57
  1093.092,3235.03,2208.33
  1097.096,5035.21,2218.61
  1101.100,523.32,2212.47
  1105.104,601.27,2206.65
  1109.108,2962.65,2209.37
  1113.112,2197.89,2209.33
  1117.116,3926.57,2215.46
  1121.120,7279.68,2233.48
  1125.124,11161.64,2265.14
  1129.128,10785.81,2295.25
